Unnamed: 0,Bug ID,Type,Summary,Product,Component,Status,Average_Cos_Similarity_Bigram,Average_Cos_Similarity_Score,Resolution,Updated,Bug Id,Description,Duplicate_Bug_Ids
128,1492707,defect,"Crash in java.lang.NullPointerException: Attempt to invoke virtual method 'int org.mozilla.gecko.util.GeckoBundle.getInt(java.lang.String, int)' on a null object reference at org.mozilla.geckoview.SessionAccessibility.getAutoFillRootId(SessionAccessibi...",GeckoView,General,RESOLVED,0.09265786849337714,0.08563349721085058,DUPLICATE,2018-12-20 08:27:20,1492707,this bug was filed from the socorro interface and is report bp                                                                           java stack trace   java lang nullpointerexception  attempt to invoke virtual method     int org mozilla gecko util geckobundle getint      on a null object reference  at org mozilla geckoview sessionaccessibility getautofillrootid   at org mozilla geckoview sessionaccessibility getautofillnode   at org mozilla geckoview sessionaccessibility nodeprovider createaccessibilitynodeinfo   at android view accessibility accessibilityrecord setsource   at org mozilla geckoview sessionaccessibility obtainevent   at org mozilla geckoview sessionaccessibility onautofillfocus   at org mozilla geckoview sessionaccessibility   handlemessage   at org mozilla gecko eventdispatcher   run   at android os handler handlecallback   at android os handler dispatchmessage   at android os looper loop   at android app activitythread main   at java lang reflect method invoke   at com android internal os zygote methodandargscaller run   at com android internal os zygoteinit main ,1492704.0
187,1637765,defect,Calling `install.cancel` throws when the extension has been downloaded already,GeckoView,Extensions,RESOLVED,0.07132598115487632,0.08373890285781754,DUPLICATE,2020-07-01 17:34:56,1637765,originally filed as bug    if the extension has been downloaded already in a previous run  calling  install cancel  will fail with this exception                         org mozilla samples browser e androidruntime  fatal exception  main     process  org mozilla samples browser  pid        java lang illegalstateexception  result is already complete         at org mozilla geckoview geckoresult complete          at org mozilla geckoview webextensioncontroller webextensionresult sendsuccess          at org mozilla gecko eventdispatcher javacallbackdelegate   run          at android os handler handlecallback          at android os handler dispatchmessage          at android os looper loop          at android app activitythread main          at java lang reflect method invoke          at com android internal os runtimeinit methodandargscaller run          at com android internal os zygoteinit main     ,1559683.0
1525,1536820,defect,"Intermittent org.mozilla.geckoview.test.WebExtensionTest#badFileType | application crashed [@ mozilla::dom::BrowsingContext::BrowsingContext(mozilla::dom::BrowsingContext*, mozilla::dom::BrowsingContextGroup*, mozilla::dom::BrowsingContext::Type)]",GeckoView,General,RESOLVED,0.14088409842609925,0.15239357807637927,DUPLICATE,2021-07-30 18:58:23,1536820,  markdown   filed by  nerli  at  mozilla com     job id   repo mozilla inbound     task     runs   artifacts public logs live backing log   task                        info    org mozilla geckoview test    task                        info    org mozilla geckoview test   time         task                        info    org mozilla geckoview test    task                        info    org mozilla geckoview test   ok    task                        info    org mozilla geckoview test    task                        info    org mozilla geckoview test    task                        info    org mozilla geckoview test   instrumentation code      task                        info    passed     task                        info    failed     task                        info    todo     task                        info    suite end   took    task                        info    mozcrash downloading symbols from     task   artifacts public build target crashreporter symbols zip  task                        info    mozcrash copy paste   builds worker workspace build   minidump stackwalk  tmp             dmp  tmp    task                        info    mozcrash saved minidump as  builds worker workspace build blobber upload dir           dmp  task                        info    mozcrash saved app info as  builds worker workspace build blobber upload dir           extra  task                     warning    process crash   org mozilla geckoview test webextensiontest badfiletype   application crashed    mozilla  dom  browsingcontext  browsingcontext    task                        info    crash dump filename   tmp             dmp  task                        info    operating system  android  task                        info                            linux            wed sep         pdt      task                        info    cpu  arm  task                        info           arm cortex   features  swp half thumb fastmult   edsp neon    task                        info           cpu  task                        info    gpu  unknown  task                        info    crash reason   sigsegv  segv maperr  task                        info    crash address     task                        info    process uptime  not available  task                        info    thread      task                        info        libxul so mozilla  dom  browsingcontext  browsingcontext   browsingcontext cpp             task                        info                                           task                        info                                           task                        info                                         task                        info         fp        sp        lr        pc      task                        info        found by  given as instruction pointer in context  task                        info        libxul so mozilla  dom  browsingcontext  create   browsingcontext cpp             task                        info                                           task                        info                                   fp      task                        info         sp        lr        pc      task                        info        found by  call frame info  task                        info        libxul so nsframeloader  maybecreatedocshell   nsframeloader cpp             task                        info                                           task                        info                                   fp      task                        info         sp        lr        pc      task                        info        found by  call frame info,1535913.0
2027,1466482,defect,Intermittent org.mozilla.geckoview.test.GeckoSessionTestRuleTest#evaluateJS_supportPromises | status -2,GeckoView,General,RESOLVED,0.17431384900286248,0.187525252756352,DUPLICATE,2021-07-30 18:57:06,1466482,filed by  apavel  at  mozilla com     job id   repo autoland     task adnc   runs   artifacts public logs live backing log   task                        info    test start   org mozilla geckoview test geckosessiontestruletest evaluatejs supportpromises  task                        info    org mozilla geckoview test   instrumentation status  id androidjunitrunner  task                        info    org mozilla geckoview test   instrumentation status  current    task                        info    org mozilla geckoview test   instrumentation status  class org mozilla geckoview test geckosessiontestruletest  task                        info    org mozilla geckoview test   instrumentation status  stream   task                        info    org mozilla geckoview test   error in evaluatejs supportpromises    task                        info    org mozilla geckoview test   java lang assertionerror  cannot find promise  task                        info    org mozilla geckoview test    at org mozilla geckoview test rule geckosessiontestrule evaluatejs   task                        info    org mozilla geckoview test    at org mozilla geckoview test rule geckosessiontestrule evaluatejs   task                        info    org mozilla geckoview test    at org mozilla geckoview test basesessiontest evaluatejs   task                        info    org mozilla geckoview test    at org mozilla geckoview test geckosessiontestruletest evaluatejs supportpromises   task                        info    org mozilla geckoview test    at java lang reflect method invokenative   task                        info    org mozilla geckoview test    at java lang reflect method invoke   task                        info    org mozilla geckoview test    at org junit runners model frameworkmethod   runreflectivecall   task                        info    org mozilla geckoview test    at org junit internal runners model reflectivecallable run   task                        info    org mozilla geckoview test    at org junit runners model frameworkmethod invokeexplosively   task                        info    org mozilla geckoview test    at org junit internal runners statements invokemethod evaluate   task                        info    org mozilla geckoview test    at org mozilla geckoview test rule geckosessiontestrule   evaluate   task                        info    org mozilla geckoview test    at android support test internal statement uithreadstatement   run   task                        info    org mozilla geckoview test    at android app instrumentation syncrunnable run   task                        info    org mozilla geckoview test    at android os handler handlecallback   task                        info    org mozilla geckoview test    at android os handler dispatchmessage   task                        info    org mozilla geckoview test    at android os looper loop   task                        info    org mozilla geckoview test    at android app activitythread main   task                        info    org mozilla geckoview test    at java lang reflect method invokenative   task                        info    org mozilla geckoview test    at java lang reflect method invoke   task                        info    org mozilla geckoview test    at com android internal os zygoteinit methodandargscaller run   task                        info    org mozilla geckoview test    at com android internal os zygoteinit main   task                        info    org mozilla geckoview test    at dalvik system nativestart main   task                        info    org mozilla geckoview test    task                        info    org mozilla geckoview test   instrumentation status  numtests    task                        info    org mozilla geckoview test   instrumentation status  stack java lang assertionerror  cannot find promise  task                        info    org mozilla geckoview test    at org mozilla geckoview test rule geckosessiontestrule evaluatejs   task                        info    org mozilla geckoview test    at org mozilla geckoview test rule geckosessiontestrule evaluatejs   task                        info    org mozilla geckoview test    at org mozilla geckoview test basesessiontest evaluatejs   task                        info    org mozilla geckoview test    at org mozilla geckoview test geckosessiontestruletest evaluatejs supportpromises   task                        info    org mozilla geckoview test    at java lang reflect method invokenative   task                        info    org mozilla geckoview test    at java lang reflect method invoke   task                        info    org mozilla geckoview test    at org junit runners model frameworkmethod   runreflectivecall   task                        info    org mozilla geckoview test    at org junit internal runners model reflectivecallable run   task                        info    org mozilla geckoview test    at org junit runners model frameworkmethod invokeexplosively   task                        info    org mozilla geckoview test    at org junit internal runners statements invokemethod evaluate   task                        info    org mozilla geckoview test    at org mozilla geckoview test rule geckosessiontestrule   evaluate   task                        info    org mozilla geckoview test    at android support test internal statement uithreadstatement   run   task                        info    org mozilla geckoview test    at android app instrumentation syncrunnable run   task                        info    org mozilla geckoview test    at android os handler handlecallback   task                        info    org mozilla geckoview test    at android os handler dispatchmessage   task                        info    org mozilla geckoview test    at android os looper loop   task                        info    org mozilla geckoview test    at android app activitythread main   task                        info    org mozilla geckoview test    at java lang reflect method invokenative   task                        info    org mozilla geckoview test    at java lang reflect method invoke   task                        info    org mozilla geckoview test    at com android internal os zygoteinit methodandargscaller run   task                        info    org mozilla geckoview test    at com android internal os zygoteinit main   task                        info    org mozilla geckoview test    at dalvik system nativestart main   task                        info    org mozilla geckoview test    task                        info    org mozilla geckoview test   instrumentation status  test evaluatejs supportpromises  task                        info    org mozilla geckoview test   instrumentation status code      task                     warning    test unexpected fail   org mozilla geckoview test geckosessiontestruletest evaluatejs supportpromises   status     task                        info    test info took    task                        info    org mozilla geckoview test   instrumentation status  id androidjunitrunner  task                        info    org mozilla geckoview test   instrumentation status  current    task                        info    org mozilla geckoview test   instrumentation status  class org mozilla geckoview test geckosessiontestruletest  task                        info    org mozilla geckoview test   instrumentation status  stream   task                        info    org mozilla geckoview test   instrumentation status  numtests    task                        info    org mozilla geckoview test   instrumentation status  test nopendingcallbacks withspecificsession  task                        info    org mozilla geckoview test   instrumentation status code     task                        info    test start   org mozilla geckoview test geckosessiontestruletest nopendingcallbacks withspecificsession  task                        info    org mozilla geckoview test   instrumentation status  id androidjunitrunner  task                        info    org mozilla geckoview test   instrumentation status  current    task                        info    org mozilla geckoview test   instrumentation status  class org mozilla geckoview test geckosessiontestruletest  task                        info    org mozilla geckoview test   instrumentation status  stream    task                        info    org mozilla geckoview test   instrumentation status  numtests    task                        info    org mozilla geckoview test   instrumentation status  test nopendingcallbacks withspecificsession  task                        info    org mozilla geckoview test   instrumentation status code     task                        info    test pass   org mozilla geckoview test geckosessiontestruletest nopendingcallbacks withspecificsession   took    task                        info    org mozilla geckoview test   instrumentation status  id androidjunitrunner  task                        info    org mozilla geckoview test   instrumentation status  current    task                        info    org mozilla geckoview test   instrumentation status  class org mozilla geckoview test geckosessiontestruletest  task                        info    org mozilla geckoview test   instrumentation status  stream   task                        info    org mozilla geckoview test   instrumentation status  numtests    task                        info    org mozilla geckoview test   instrumentation status  test forcallbacksduringwait withspecificsession  task                        info    org mozilla geckoview test   instrumentation status code   ,1464351.0
2195,1677708,defect,Intermittent org.mozilla.geckoview.test.PanZoomControllerTest#touchEventForResultWithEventHandler | java.lang.AssertionError: The input result should be HANDLED_CONTENT initially in iframe_98vh_scrollable.html,GeckoView,General,RESOLVED,0.17492263386122958,0.19077201200209956,DUPLICATE,2021-08-15 23:00:48,1677708,  filed by    malexandru  at  mozilla com   parsed log      job id   repo mozilla central   full log      ci tc services mozilla com api queue   task   runs   artifacts public logs live backing log           task                        info    test start   org mozilla geckoview test panzoomcontrollertest toucheventforresultwitheventhandler  task                        info    org mozilla geckoview test   instrumentation status  numtests    task                        info    org mozilla geckoview test   instrumentation status  stream   task                        info    org mozilla geckoview test   error in toucheventforresultwitheventhandler    task                        info    org mozilla geckoview test   java lang assertionerror  the input result should be handled content initially in   html  task                        info    org mozilla geckoview test   expected       task                        info    org mozilla geckoview test        but  was      task                        info    org mozilla geckoview test    at org hamcrest matcherassert assertthat   task                        info    org mozilla geckoview test    at org junit assert assertthat   task                        info    org mozilla geckoview test    at org junit rules errorcollector   call   task                        info    org mozilla geckoview test    at org junit rules errorcollector checksucceeds   task                        info    org mozilla geckoview test    at org junit rules errorcollector checkthat   task                        info    org mozilla geckoview test    at org mozilla geckoview test rule geckosessiontestrule checkthat   task                        info    org mozilla geckoview test    at org mozilla geckoview test basesessiontest assertthat   task                        info    org mozilla geckoview test    at org mozilla geckoview test panzoomcontrollertest testtoucheventforresult   task                        info    org mozilla geckoview test    at org mozilla geckoview test panzoomcontrollertest toucheventforresultwitheventhandler   task                        info    org mozilla geckoview test    at java lang reflect method invoke   task                        info    org mozilla geckoview test    at org junit runners model frameworkmethod   runreflectivecall   task                        info    org mozilla geckoview test    at org junit internal runners model reflectivecallable run   task                        info    org mozilla geckoview test    at org junit runners model frameworkmethod invokeexplosively   task                        info    org mozilla geckoview test    at org junit internal runners statements invokemethod evaluate   task                        info    org mozilla geckoview test    at org mozilla geckoview test rule geckosessiontestrule   lambda evaluate   geckosessiontestrule     task                        info    org mozilla geckoview test    at org mozilla geckoview test rule    lambda geckosessiontestrule   sibrnazjgau   run   task                        info    org mozilla geckoview test    at android app instrumentation syncrunnable run   task                        info    org mozilla geckoview test    at android os handler handlecallback   task                        info    org mozilla geckoview test    at android os handler dispatchmessage   task                        info    org mozilla geckoview test    at android os looper loop   task                        info    org mozilla geckoview test    at android app activitythread main   task                        info    org mozilla geckoview test    at java lang reflect method invoke   task                        info    org mozilla geckoview test    at com android internal os zygoteinit methodandargscaller run   task                        info    org mozilla geckoview test    at com android internal os zygoteinit main   task                        info    org mozilla geckoview test    task                        info    org mozilla geckoview test   instrumentation status  id androidjunitrunner  task                        info    org mozilla geckoview test   instrumentation status  test toucheventforresultwitheventhandler  task                        info    org mozilla geckoview test   instrumentation status  class org mozilla geckoview test panzoomcontrollertest  task                        info    org mozilla geckoview test   instrumentation status  stack java lang assertionerror  the input result should be handled content initially in   html  task                        info    org mozilla geckoview test   expected       task                        info    org mozilla geckoview test        but  was      task                        info    org mozilla geckoview test    at org hamcrest matcherassert assertthat   task                        info    org mozilla geckoview test    at org junit assert assertthat   task                        info    org mozilla geckoview test    at org junit rules errorcollector   call   task                        info    org mozilla geckoview test    at org junit rules errorcollector checksucceeds   task                        info    org mozilla geckoview test    at org junit rules errorcollector checkthat   task                        info    org mozilla geckoview test    at org mozilla geckoview test rule geckosessiontestrule checkthat   task                        info    org mozilla geckoview test    at org mozilla geckoview test basesessiontest assertthat   task                        info    org mozilla geckoview test    at org mozilla geckoview test panzoomcontrollertest testtoucheventforresult   task                        info    org mozilla geckoview test    at org mozilla geckoview test panzoomcontrollertest toucheventforresultwitheventhandler   task                        info    org mozilla geckoview test    at java lang reflect method invoke   task                        info    org mozilla geckoview test    at org junit runners model frameworkmethod   runreflectivecall   task                        info    org mozilla geckoview test    at org junit internal runners model reflectivecallable run   task                        info    org mozilla geckoview test    at org junit runners model frameworkmethod invokeexplosively   task                        info    org mozilla geckoview test    at org junit internal runners statements invokemethod evaluate   task                        info    org mozilla geckoview test    at org mozilla geckoview test rule geckosessiontestrule   lambda evaluate   geckosessiontestrule     task                        info    org mozilla geckoview test    at org mozilla geckoview test rule    lambda geckosessiontestrule   sibrnazjgau   run   task                        info    org mozilla geckoview test    at android app instrumentation syncrunnable run   task                        info    org mozilla geckoview test    at android os handler handlecallback   task                        info    org mozilla geckoview test    at android os handler dispatchmessage   task                        info    org mozilla geckoview test    at android os looper loop   task                        info    org mozilla geckoview test    at android app activitythread main   task                        info    org mozilla geckoview test    at java lang reflect method invoke   task                        info    org mozilla geckoview test    at com android internal os zygoteinit methodandargscaller run   task                        info    org mozilla geckoview test    at com android internal os zygoteinit main   task                        info    org mozilla geckoview test    task                        info    org mozilla geckoview test   instrumentation status  current    task                        info    org mozilla geckoview test   instrumentation status code      task                     warning    test unexpected fail   org mozilla geckoview test panzoomcontrollertest toucheventforresultwitheventhandler   java lang assertionerror  the input result should be handled content initially in   html  task                        info    test info took    task                        info    org mozilla geckoview test   instrumentation status  numtests    task                        info    org mozilla geckoview test   instrumentation status  stream   task                        info    org mozilla geckoview test   instrumentation status  id androidjunitrunner  task                        info    org mozilla geckoview test   instrumentation status  test scrolltoverticalauto  task                        info    org mozilla geckoview test   instrumentation status  class org mozilla geckoview test panzoomcontrollertest  task                        info    org mozilla geckoview test   instrumentation status  current    task                        info    org mozilla geckoview test   instrumentation status code     task                        info    test start   org mozilla geckoview test panzoomcontrollertest scrolltoverticalauto   ,1678895.0
2206,1703350,defect,Intermittent org.mozilla.geckoview.test.TextInputDelegateTest#inputConnection_sendKeyEvent[#textarea] | java.lang.AssertionError: Can type using event,GeckoView,General,RESOLVED,0.1164231764455343,0.1364086919664252,DUPLICATE,2021-12-12 22:00:43,1703350,  filed by    csabou  at  mozilla com   parsed log      job id   repo autoland   full log      ci tc services mozilla com api queue   task   runs   artifacts public logs live backing log           task                        info                i gecko       child    main thread  warning  editorbase  getinlinespellchecker  failed  but ignored   ns succeeded    file  builds worker checkouts gecko editor libeditor editorbase cpp    task                        info                i gecko       child    main thread  warning  editorbase  getinlinespellchecker  failed  but ignored   ns succeeded    file  builds worker checkouts gecko editor libeditor editorbase cpp    task                        info                d geckoviewprogressdelegate c    handleevent  pageshow  task                        info                d geckoviewcontent c    handleevent  pageshow  task                        info                d geckoviewautofill c    handleevent  pageshow  task                        info                d webextension   handlemessage geckoview webextension connect  task                        info                d geckoviewprogress   receivemessage  pageshow  task                        info                d geckoviewprogress   progresstracker handleevent  pageshow  task                        info                d geckoviewprogress   progresstracker updateprogress  task                        info                d geckoviewprogress   progresstracker updateprogress data   prev     uri       assets www inputs html   locationchange  true  pagestart  true  pagestop  false  firstpaint  false  pageshow  true  parsed  true  progress    task                        info                d geckosession   handlemessage geckoview progresschanged uri null  task                        info                d geckoviewprogressdelegate c    handleevent  mozafterpaint  task                        info                d geckoviewprogress   progresstracker onstatechange  istoplevel true  flags    status ns ok  task                        info                d geckoviewprogress   progresstracker onstatechange  uri     assets www inputs html  task                        info                d geckoviewprogress   progresstracker stop  task                        info                d geckoviewprogress   progresstracker updateprogress  task                        info                d geckoviewcontentdelegatechild c    handleevent  mozfirstcontentfulpaint  task                        info                d geckoviewcontentdelegatechild c    handleevent  mozfirstcontentfulpaint  task                        info                d geckoviewprogress   statetracker onstatechange  istoplevel true  flags    status ns ok loadtype    task                        info                d geckosession   handlemessage geckoview pagestop uri null  task                        info                d geckoviewprogress   receivemessage  mozafterpaint  task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               eval   document queryselector  value          task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               eval   document queryselector  focus      task                        info                i gecko       child    main thread  warning    editinghost   file  builds worker checkouts gecko editor libeditor htmleditor cpp    task                        info                i gecko       child    main thread  warning  editorbase  getinlinespellchecker  failed  but ignored   ns succeeded    file  builds worker checkouts gecko editor libeditor editorbase cpp    task                        info                d geckoviewautofill c    handleevent  focusin  task                        info                d geckoviewprogressdelegate c    handleevent  mozafterpaint  task                        info                d geckoviewprogress   receivemessage  mozafterpaint  task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               eval   new promise       task                        info                d geckoviewprogressdelegate c    handleevent  mozafterpaint  task                        info                d geckoviewprogress   receivemessage  mozafterpaint  task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               args      type   getrequestedlocales     task                        info                d geckoviewprogressdelegate c    handleevent  mozafterpaint  task                        info                d geckoviewprogressdelegate c    handleevent  mozafterpaint  task                        info                d geckoviewprogress   receivemessage  mozafterpaint  task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id     cfdd         eval   document queryselector  value     task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id     bafc         eval   this                new promise  addeventlistener    true     task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               eval   this                  task                        info                i gecko       parent    main thread  warning  ns ensure true  failed  file  builds worker checkouts gecko extensions permissions permissiondelegatehandler cpp    task                        info                d geckoviewprogressdelegate c    handleevent  mozafterpaint  task                        info                d geckoviewprogress   receivemessage  mozafterpaint  task                        info                i gecko       child    main thread  warning  ns ensure true  failed  file  builds worker checkouts gecko extensions permissions permissiondelegatehandler cpp    task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               eval   new promise       task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               args      type   getrequestedlocales     task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               eval   document queryselector  value          task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               eval   this                new promise  addeventlistener    true     task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               eval   this                new promise  addeventlistener    true     task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               eval   this                  task                        info                d geckoviewprogressdelegate c    handleevent  mozafterpaint  task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               eval   this                  task                        info                d geckoviewprogress   receivemessage  mozafterpaint  task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               eval   new promise       task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               args      type   getrequestedlocales     task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               eval   document queryselector  value          task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               eval   this                new promise  addeventlistener    true     task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               eval   this                new promise  addeventlistener    true     task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               eval   this                  task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               eval   this                  task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               eval   new promise       task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               args      type   getrequestedlocales     task                        info                d geckoviewprogressdelegate c    handleevent  mozafterpaint  task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               eval   document queryselector  value     task                        info                d geckoviewprogress   receivemessage  mozafterpaint  task                        info                e geckosessiontestrule   after evaluate  task                        info                d geckoviewconsole   onevent geckoview webextension portmessagefromapp   message    id               args    oldprefs    dom select events textcontrols enabled  true    type   restoreprefs     task                        info                e geckosessiontestrule   after performtestendcheck  task                        info                d geckoviewcontent   handleevent  domwindowclose  task                        info                d geckoviewcontent   handleevent  domwindowclose  task                        info                d geckoviewconsole   onevent geckoview webextension list null  task                        info                e geckosessiontestrule   test end           inputconnection sendkeyevent  textarea    task                     warning    test unexpected fail   org mozilla geckoview test textinputdelegatetest inputconnection sendkeyevent  textarea    java lang assertionerror  can type using event  task                        info    test info took    task                        info    org mozilla geckoview test   instrumentation status  numtests    task                        info    org mozilla geckoview test   instrumentation status  stream   task                        info    org mozilla geckoview test   instrumentation status  id androidjunitrunner  task                        info    org mozilla geckoview test   instrumentation status  test editorinfo enterkeyhint  textarea   task                        info    org mozilla geckoview test   instrumentation status  class org mozilla geckoview test textinputdelegatetest  task                        info    org mozilla geckoview test   instrumentation status  current    task                        info    org mozilla geckoview test   instrumentation status code     task                        info    test start   org mozilla geckoview test textinputdelegatetest editorinfo enterkeyhint  textarea   task                        info    org mozilla geckoview test   instrumentation status  numtests    task                        info    org mozilla geckoview test   instrumentation status  stream    task                        info    org mozilla geckoview test   instrumentation status  id androidjunitrunner  task                        info    org mozilla geckoview test   instrumentation status  test editorinfo enterkeyhint  textarea   task                        info    org mozilla geckoview test   instrumentation status  class org mozilla geckoview test textinputdelegatetest  task                        info    org mozilla geckoview test   instrumentation status  current    task                        info    org mozilla geckoview test   instrumentation status code     task                        info    test pass   org mozilla geckoview test textinputdelegatetest editorinfo enterkeyhint  textarea    took     ,1681261.0
2241,1574141,defect,Intermittent org.mozilla.geckoview.test.ContentDelegateTest#killContentMultipleSessions | application crashed [@ mozilla::net::nsSocketTransport::InitiateSocket()],GeckoView,General,RESOLVED,0.11614810940498951,0.13815683681898125,DUPLICATE,2021-07-30 18:59:53,1574141,  filed by    cbrindusan  at  mozilla com   parsed log       job id   repo mozilla central   full log       task alcqgokeqlcbjkzyoeoxcw runs   artifacts public logs live backing log        task                        info    test start   org mozilla geckoview test contentdelegatetest killcontentmultiplesessions  task                        info    org mozilla geckoview test   instrumentation result  shortmsg process crashed   task                        info    org mozilla geckoview test   instrumentation code     task                        info    passed     task                        info    failed     task                        info    todo     task                        info    suite end   took    task                        info    mozcrash copy paste   builds worker workspace build   minidump stackwalk  tmp             dmp  builds worker workspace build symbols  task                        info    mozcrash saved minidump as  builds worker workspace build blobber upload dir           dmp  task                        info    mozcrash saved app info as  builds worker workspace build blobber upload dir           extra  task                     warning    process crash   org mozilla geckoview test contentdelegatetest killcontentmultiplesessions   application crashed    mozilla  net  nssockettransport  initiatesocket    task                        info    crash dump filename   tmp             dmp  task                        info    operating system  android  task                        info                            linux           smp preempt fri may         pdt      task                        info    cpu     task                        info         family   model   stepping    task                        info           cpus  task                        info    gpu  unknown  task                        info    crash reason   sigsegv  segv maperr  task                        info    crash address     task                        info    process uptime  not available  task                        info    thread      task                        info        libxul so mozilla  net  nssockettransport  initiatesocket     cpp             task                        info        rax       rdx      task                        info        rcx       rbx      task                        info        rsi       rdi     task                        info        rbp       rsp      task                        info                         task                        info                       task                        info                       task                        info                       task                        info        rip      task                        info        found by  given as instruction pointer in context  task                        info        libxul so mozilla  net  nssockettransport  onsocketevent     cpp             task                        info        rbx       rbp      task                        info        rsp              task                        info                       task                        info                rip      task                        info        found by  call frame info  task                        info        libxul so mozilla  net  nssocketevent  run     cpp             task                        info        rbx       rbp      task                        info        rsp              task                        info                       task                        info                rip      task                        info        found by  call frame info  task                        info        libxul so nsthread  processnextevent   nsthread cpp             task                        info        rbx       rbp      task                        info        rsp              task                        info                       task                        info                rip      task                        info        found by  call frame info  task                        info        libxul so ns processnextevent   nsthreadutils cpp             task                        info        rbx       rbp      task                        info        rsp              task                        info                       task                        info                rip      task                        info        found by  call frame info  task                        info        libxul so mozilla  net  nssockettransportservice  run     cpp             task                        info        rbx       rbp     task                        info        rsp              task                        info                       task                        info                rip      task                        info        found by  call frame info  task                        info        libxul so non virtual thunk to mozilla  net  nssockettransportservice  run     cpp             task                        info        rbx       rbp      task                        info        rsp              task                        info                       task                        info                rip      task                        info        found by  call frame info  task                        info        libxul so nsthread  processnextevent   nsthread cpp             task                        info        rbx       rbp      task                        info        rsp              task                        info                       task                        info                rip      task                        info        found by  call frame info  task                        info        libxul so ns processnextevent   nsthreadutils cpp             task                        info        rbx       rbp      task                        info        rsp              task                        info                       task                        info                rip      task                        info        found by  call frame info  task                        info        libxul so mozilla  ipc  messagepumpfornonmainthreads  run   messagepump cpp             task                        info        rbx       rbp      task                        info        rsp              task                        info                       task                        info                rip     task                        info        found by  call frame info  task                        info       libxul so messageloop  runinternal   message loop cc             task                        info        rbx       rbp      task                        info        rsp              task                        info                       task                        info                rip      task                        info        found by  call frame info  task                        info       libxul so messageloop  run   message loop cc             task                        info        rbx       rbp      task                        info        rsp              task                        info                       task                        info                rip      task                        info        found by  call frame info,1564920.0
