Unnamed: 0,Bug ID,Type,Summary,Product,Component,Status,Average_Cos_Similarity_Score,Resolution,Updated,Bug Id,Description,Duplicate_Bug_Ids
41,1655196,defect,High ratio of ERROR_NO_MINIDUMP_HEADER,GeckoView,General,RESOLVED,0.03150169416054548,DUPLICATE,2021-02-04 09:57:49,1655196,talking to  gsvelto today he pointed out that on android we have a high ratio of  error no minidump header    and there might be something fundamentally broken in our crash reporting ,1644486.0
96,1482876,defect,"Storage crash: lastInsertedRowID, 32-bit only, release v13.0",Firefox for iOS,General,RESOLVED,0.008482038606106945,DUPLICATE,2018-08-14 08:14:18,1482876,the brief crash report   thread   name  thread   crashed      storage                                      storage                                      storage                                      storage                          closure    in sqliteremoteclientsandtabs insertorupdatetabsforclientguid            storage                          partial apply for closure    in sqliteremoteclientsandtabs insertorupdatetabsforclientguid            storage                                      storage                                      storage                                    storage                          concretesqlitedbconnection transaction a             storage                          protocol witness for sqlitedbconnection transaction a   in conformance concretesqlitedbconnection          storage                          partial apply for specialized           storage                                   storage                          specialized dowork     a   in swiftdata withconnection a            storage                                   storage                                 ,1482487.0
142,1331985,defect,Crash: [UIApplication _cachedSystemAnimationFenceCreatingIfNecessary:] / Web Video Player / EXC_CRASH,Firefox for iOS,Browser,RESOLVED,0.014967901466444389,DUPLICATE,2017-04-11 06:26:10,1331985,created attachment                   crash  currently ranked    in       crashes  full log attached        looking at the logs  it seems that the relevant piece of information is that the crash is occurring while we re either showing or dismissing the video player from a web page  stack frame   last exception backtrace      corefoundation                     exceptionpreprocess           libobjc a dylib                  objc exception throw           corefoundation                     nsexception raise format arguments             foundation                         nsassertionhandler handlefailureinmethod object file linenumber description             uikit                              uiapplication  cachedsystemanimationfencecreatingifnecessary             uikit                              uiwindow  synchronizedrawingwithprecommithandler             uikit                              uiapplication  setstatusbarhidden animationparameters changeapplicationflag             uikit                              uiapplication  updatecurrentstatusbarviewcontrollerappearance            uikit                              uiviewcontroller setneedsstatusbarappearanceupdate            uikit                              uiviewcontroller  setpresentedstatusbarviewcontroller            uikit                              uiviewcontroller  dismissviewcontrollerwithanimationcontroller interactioncontroller completion            uikit                              uiviewcontroller  dismissviewcontrollerwithtransition from completion            uikit                              uiviewcontroller dismissviewcontrollerwithtransition completion            uikit                              uiviewcontroller dismissviewcontrollerwithtransition completion            uikit                              uiviewcontroller  performcoordinatedpresentordismiss animated            uikit                              uiviewcontroller dismissviewcontrolleranimated completion            avkit                              avplayerviewcontroller  transitionfromfullscreenviewcontrolleranimated completionhandler            avkit                              avplayerviewcontroller  exitfullscreenanimated completionhandler            webcore                          webcore  webvideofullscreeninterfaceavkit  exitfullscreen           webcore                          webcore  webvideofullscreeninterfaceavkit  watchdogtimerfired           webcore                          webcore  threadtimers  sharedtimerfiredinternal           webcore                          webcore  timerfired           corefoundation                     cfrunloop is calling out to a timer callback function            corefoundation                     cfrunloopdotimer          corefoundation                     cfrunloopdotimers          corefoundation                     cfrunlooprun          corefoundation                   cfrunlooprunspecific          webcore                          runwebthread           libsystem pthread dylib           pthread body          libsystem pthread dylib           pthread start          libsystem pthread dylib          thread start    ,1355440.0
240,1628075,defect,Intermittent editor/libeditor/crashtests/1424450.html | load failed: timed out waiting for pending paint count to reach zero (waiting for updateCanvasPending),GeckoView,General,RESOLVED,0.04398611686967993,DUPLICATE,2020-05-11 13:37:50,1628075,  filed by    rmaries  at  mozilla com   parsed log       job id   repo autoland   full log      ci tc services mozilla com api queue   task e  td tdqukvjhvswdpzra runs   artifacts public logs live backing log   reftest url      central raw file tip layout tools reftest reftest analyzer xhtml logurl   ci tc services mozilla com api queue   task e  td tdqukvjhvswdpzra runs   artifacts public logs live backing log only show unexpected       ,1635914.0
326,1494388,defect,Remaining mochitest and reftest failures in TestRunnerActivity on x86 emulator,GeckoView,General,RESOLVED,0.0317917777117317,DUPLICATE,2019-02-06 14:40:46,1494388,   jobs repo try tier       revision    demonstrates that there are still several persistent test failures in mochitest plain and reftest plain suites on android       opt     it would be super awesome if these could be investigated and fixed or disabled ,1460411.0
526,1591737,defect,Add isFocused info to Autofill elements.,GeckoView,General,RESOLVED,0.0396339102819201,DUPLICATE,2019-12-04 10:45:58,1591737,currently  the amazon co uk sign in form and register form are on the same page      xml      truncated      viewgroup identry  swiperefresh  idpackage  org mozilla fenix nightly  idtype  id      framelayout identry  engineview  idpackage  org mozilla fenix nightly  idtype  id        form webdomain  www amazon co uk  data enable mobile account js  true  action     method  post  data fwcim id     novalidate    id  ap register form  name  register  class  ap ango default fwcim form auth validate form auth clearable form               truncated            input webdomain  www amazon co uk  autofillhints  emailaddress  inputtype     autocorrect  off  id  ap email  name  email  type  email  maxlength     placeholder  mobile number or email  autocapitalize  off           input webdomain  www amazon co uk  autofillhints  password  inputtype     autocorrect  off  autocomplete  off  id  ap password  name  password  type  password  maxlength     placeholder  create a password  autocapitalize  off               truncated           form       form webdomain  www amazon co uk  action     method  post  data fwcim id     novalidate    id  ap login form  name  signin  class  auth validate form fwcim form auth clearable form          input webdomain  www amazon co uk  autofillhints  emailaddress  inputtype     autocorrect  off  id  ap email login  name  email  type  email  maxlength     placeholder  email    autocapitalize  off           input webdomain  www amazon co uk  autofillhints  password  inputtype     id  ap credential autofill hint  name  password  type  password  maxlength     autofillid  autofillid password               truncated           form      framelayout    viewgroup       truncated          this is an xml representation of the  assiststructure viewnode  tree  that android hands us from geckoview fenix   only one form is on screen at once  however the viewnode tree is the same each time   either  only give the  form  that is visible  or annotate the  edittext  that is  focused        autofill service docs          a service can identify the field that originated the request by calling the  isfocused      method while traversing the assiststructure object  this allows services to prepare a fillresponse with the appropriate partition data    viewnode isfocused           returns true if this node currently had input focus at the time that the structure was collected          services        isfocused   this bug makes it difficult for lockwise to support sign in to amazon properties via fenix   it works fine on the embedded webview in the native app   gecko version       ,1591462.0
692,1568667,enhancement,Extend ContentBlocking API to support Social Tracking Protection,GeckoView,General,RESOLVED,0.029621443338841133,DUPLICATE,2019-12-04 10:59:55,1568667,stp is a new blocklist setting we need to support  see bug   ,1568295.0
723,1561018,defect,Replace GV's Gecko telemetry snapshot API with Glean metrics API,GeckoView,General,RESOLVED,0.025214085565936534,DUPLICATE,2019-07-22 12:20:37,1561018,work breakdown for moving gv from the old gecko telemetry snapshot api to glean        edit gid  ,1566367.0
816,1401444,enhancement,write front end test for PWA,GeckoView,General,RESOLVED,0.030746280010402003,DUPLICATE,2018-12-20 08:27:20,1401444,planned test will have     before add to home screen      parse manifest for enrollment,1402805.0
922,1528585,defect,NYTimes website login shows Spinner then fails,GeckoView,General,RESOLVED,0.04847998463453936,DUPLICATE,2019-04-25 09:14:47,1528585,the new york times website login works with a google login  but on logging in with an email and password  it shows a spinner and then fails to log in   first reported here    mobile fenix issues  ,1530050.0
